|        a         |        b         |       sel        |       out        |
| 0000000000000001 | 0000000000000001 | 0000000000000000 | 0000000000000010 |
| 0000000000000001 | 0000000000000001 | 0000000000000001 | 0000000000000010 |
| 0000000000000001 | 0000000000000001 | 0000000000000010 | 0000000000000010 |
| 0000000000000001 | 0000000000000001 | 0000000000000011 | 0000000000000001 |
| 0000001100000001 | 0000000000000101 | 0000000000000000 | 0000001100000110 |
| 0000000000000011 | 0010000000000001 | 0000000000000001 | 0000000000000100 |
| 0000000000001001 | 0000000001000001 | 0000000000000010 | 0000000001000010 |
| 0000000000100001 | 0000001000000001 | 0000000000000011 | 0000001000100001 |
| 0000010000000001 | 0000100000000001 | 0000000000000000 | 0000110000000010 |
| 0000000010000001 | 0100000000000001 | 0000000000000001 | 0000000010000010 |
| 0000000000001001 | 0000000001000001 | 0000000000000010 | 0000000001000010 |
| 0110000000000001 | 0001110000000001 | 0000000000000011 | 0111110000000001 |
| 0000000111000001 | 0000110000000001 | 0000000000000000 | 0000110111000010 |
| 0000000011100001 | 0000000000011101 | 0000000000000001 | 0000000011100010 |
| 0001111000000001 | 0000000000001111 | 0000000000000010 | 0000000000010000 |
| 0000000010011101 | 0000011110000001 | 0000000000000011 | 0000011110011101 |
| 1100000000000001 | 0011000000000001 | 0000000000000000 | 1111000000000010 |
| 0000001010100001 | 0110001100000001 | 0000000000000001 | 0000001010100010 |
| 0000001000110001 | 1000011000000001 | 0000000000000010 | 1000011000000010 |
| 0000000010010001 | 0001101100000001 | 0000000000000011 | 0001101110010001 |
